quarter,ITAEE_Nacional,ITAEE_Aguascalientes,ITAEE_Durango,ITAEE_Querétaro,ITAEE_San Luis Potosí,ITAEE_Zacatecas,FX_USD,FX_CAD,FX_BRL,FX_JPY,FX_CNY,FX_COP,FX_CLP,FX_RUB,FX_ILS,FX_EUR,FX_INR
2007Q2,83.9025954843863,64.6641627272263,77.7300989269087,72.8333203861151,67.9320471903778,70.941841869894,10.86561387869028,9.902226081261269,5.579500007629394,0.09001476936615431,1.417101249259105,0.005555022943582252,0.021279496086913534,0.4203341003965587,2.6622224219384383,14.650313503700428,0.26478625822580354
2007Q4,84.6738966502369,66.3244452363577,82.6638288420909,72.3399168956496,70.3311522829413,73.9029633239104,10.838721466064452,11.051015675067902,6.067426080289095,0.0957315624691546,1.4600973165164255,0.0054624338869065,0.022006919143656534,0.4397218380755153,2.752025852295983,15.695815354143855,0.27558282494315944
2008Q1,81.3252491040219,63.3141147556015,79.641676702402,71.6251926531869,69.8997531483655,69.3112524733789,10.795858441866361,10.740999984741212,6.2045091922466575,0.10253484372515231,1.5092171077819336,0.005744110453855166,0.023746989940547632,0.44555085077291146,2.985375965221051,16.21788684423482,0.2721897243491706
2008Q2,85.7175026589675,66.8530101042341,83.0174499337165,73.1664239462588,71.8241839691637,74.111398947472,10.416407933310857,10.316730196513827,6.294565102410695,0.09955031684939823,1.4995437092056554,0.005992330638990624,0.022537494168433543,0.4411124838950816,3.054126335089981,16.284589602805667,0.2508886248190114
2008Q3,84.1062782103881,67.6097743131285,86.1753169014505,73.7304523460049,71.5045569831102,76.8328986145884,10.318279970609225,10.029404123624166,6.171500027179718,0.09590430752589152,1.5107738276049165,0.005531815937526437,0.02040060816388947,0.42734056858155034,3.0082548117729346,15.622822323656386,0.23616421946369417
2008Q4,83.9758118632726,65.4183417864754,85.46627493078,73.9728915744818,69.9881389248433,74.9836644849855,13.06723640904282,10.79165152347449,5.7174772638263125,0.13658909059383653,1.9137767787190079,0.005796937709894097,0.020768558714321657,0.47881848601120175,3.4350206959178924,17.307906661128534,0.268901934555878
2009Q1,76.039831975729,57.1301038103798,78.8567767522932,67.0520770141124,65.3820043417515,68.9550990700105,14.367050006985664,11.54300007224083,6.198014035820961,0.15341796819120646,2.1047403831844678,0.006016705536530822,0.02413727608042511,0.42494370057446956,3.5458010152048005,18.75297632537256,0.2894082880125822
2009Q2,77.3365209233535,58.7177569598781,81.6122149320052,67.293154782619,65.6006087820664,77.3040419585409,13.315387652470516,11.421599989670973,6.4170107621413015,0.13671800058621628,1.9523039443935524,0.006032616266344269,0.023945505028716656,0.41522809586327103,3.2817986491653603,18.1454552041955,0.27376946691395143
2009Q3,79.4559639785301,63.2280758404862,83.1913555184327,71.8760538265961,66.3683113557809,82.9704975755537,13.262089382518422,12.085030295632102,7.093424233523282,0.14183666669961179,1.944254934267853,0.006627369430675169,0.024757187868876138,0.42126196056312254,3.470621618478041,18.97137004657376,0.27457913415494634
2009Q4,82.4890061536309,65.7172821958809,86.0811835569281,74.4687993970804,69.4773416465131,82.8189053333524,13.053013642628988,12.360272682074344,7.490809093822133,0.14534560658714987,1.9149265570912928,0.006697420331856665,0.025670281754917965,0.4433891702502489,3.471322280608649,19.27799030965961,0.28046422746805694
2010Q1,79.7428486003873,63.2981951334109,79.8893899982927,71.2229774574036,67.481179377715,79.004880974454,12.760875582695007,12.267546877264977,7.073228120803833,0.14067140617407858,1.8710462129372543,0.0066091018643792,0.025097274973221752,0.42769834033650356,3.4230542246956084,17.662184876144508,0.2783930807019855
2010Q2,83.044034600416,65.2648287810188,84.1646159238042,74.4069160560782,71.0580072110304,85.6938384227685,12.56433844933143,12.215230736365685,6.991763085585374,0.1365832303579037,1.8438833917561164,0.006469732066604119,0.02417398728761851,0.41461774503005167,3.322167424253101,15.975815357784674,0.2759300342267847
2010Q3,83.5010556197359,69.287439418205,85.190212070471,79.9741886004431,71.2753696757902,90.8886193942201,12.7908698573257,12.307545416282885,7.296839381709243,0.14908136337092429,1.8920464951144518,0.0070324644820572045,0.0254691249987126,0.4185628750449366,3.374542982244076,16.52636318564576,0.2758198839233465
2010Q4,85.7908390332253,69.1170198089405,88.1228176446397,81.5125709275324,73.2245524582719,86.7557304713532,12.379012685833555,12.222212155659994,7.285195430119832,0.14994030332926547,1.8620814509775105,0.0066473211823712035,0.025915833346251544,0.4033715489957354,3.421643042901077,16.809005362075265,0.2766828558685563
2011Q1,82.8346875067675,66.9950884441576,84.5760248438787,78.2485136630136,71.7619792738544,80.1963945269327,12.052682861685753,12.229749977588654,7.223143748939037,0.14662015670910478,1.834445747208734,0.006452551859207316,0.02520772884506155,0.4126693609792705,3.358939840606642,16.48741168734506,0.2668482218237565
2011Q2,85.2547396688386,68.8668704990358,87.0964067877391,80.3126257587265,74.3699361719693,87.7673379053316,11.710358399611254,12.104312464594841,7.328628100454807,0.14359234413132071,1.8033741395760494,0.0065359815240886455,0.025110484806441666,0.4189547092903645,3.412568348157975,16.85411417737582,0.26236517851384544
2011Q3,86.7711911099157,70.761420437332,87.9766887984482,85.8732801504077,75.305908630437,88.7636429954512,12.330615159237023,12.55466669256037,7.5198272719527735,0.15829787900050482,1.9259957155401675,0.00690453908193731,0.02642287150275193,0.4241905262380677,3.4785295559187714,17.42068024428347,0.26972531031122104
2011Q4,89.1969121487124,73.3330830120034,93.0652631047919,88.3425543360676,77.2260794361522,90.7460117392419,13.645018430856558,13.324523104154146,7.558536933018611,0.17628538425152118,2.1477142561921583,0.007154626672890504,0.02692919388054048,0.43869272910152407,3.671204907336917,18.38158778363535,0.26916965813563387
